Points,Team,Coach,Owner,GM,City,Number of Roster Slots Filled,Roster Model,International Slots Filled
17,Atlanta United,Ronny Delia,Arthur M. Blank,Chris Henderson,"Atlanta, GA",27,Designated Player,7/8
25,Charlotte FC,Dean Smith,David A. Tepper,Zoran Krneta,"Charlotte, NC",28,U22 Intiative,8/8
25,Chicago Fire,Greg Berhalter,Jon Mansueto,Greg Berhalter,"Chicago, IL",30,U22 Intiative,8/8
33,FC Cincinatti,Pat Noonan,Carl H. Lindner III,Chris Albright,"Cincinnati, OH",25,U22 Intiative,5/7
31,Columbus Crew,Wilfred Nancy,Haslam Sports Group,Tim Bezbatchenko,"Columbus, OH",26,Designated Player,7/8
18,DC United,Troy Lesesne,DC United Holdings,Ally Mackay ,"Washington, DC",27,Designated Player,7/8
29,Inter Miami,Javier Mascherano,Jorge Mas,Raul Sanllehi,"Fort Lauderdale, FL",27,Designated Player,14/14
11,CF Montreal,,Joey Saputo ,Luca Saputo,"Montreal, Canada",26,U22 Initiative,7/5
32,Nashville FC,BJ Callaghan,John Ingram,Mike Jacob's,"Nashville, TN",27,Designated Player,5/5
23,NE Revolution,Caleb Porter,Kraft Group,Curt Onalfo,"Foxborough, MA",26,U22 Intiative,8/8
28,New York City FC,Pascal Jansen,City Football Group,Brad Sims,"New York City, NY",27,U22 Intiative,5/8
27,NY Red Bulls,Sandro Schwarz,Red Bull GmbH,Julian De Guzman,"Harrison, NJ",28,Designated Player,12/11
30,Orlando City,Oscar Pareja,The Wild Family,Luiz Muzzi,"Orlando, FL",23,Designated Player,6/7
37,Philadelphia Union,Bradley Carnell,Jay Sugarman,Ernst Tanner,"Chester, PA",27,Designated Player,7/7
13,Toronto FC,Robin Fraser,Maple Lead Sports & Entertainment ,Jason Hernandez,"Toronto, Canada ",26,U22 Intiative,13/10
