First Name,Last Name,Minutes Played,TEAM,DOB,Age,Position,Nationality,Preferred Foot
Santiago,Pita,7,Atlanta United,6/1/2007,18,Attacking Midfelder,USA and Venezuela,Left
Dominik,Chong Qui,679,Atlanta United,12/29/2007,17,Left Back,USA,Left
Kaiden,Moore,7,Atlanta United,11/5/2007,17,"Center Back, Left Back",USA,Left
Ashton,Gordon,22,Atlanta United,4/14/2007,18,Winger,USA and Jamaica,Left
Cooper,Sanchez,708,Atlanta United,3/26/2008,17,Central Midfield,USA,Right
Gabriel,Wesseh ,677,Atlanta United,5/6/2008,17,Attacking Midfielder,USA,Left
Isiah,Vicentti,13,Atlanta United ,3/28/2008,17,Forward,USA & Puerto Rico,Right
Braden,Dunham,529,Atlanta United,5/10/2007,18,Center Back,USA,Left
David,Siberian,8,Atlanta United,11/5/2009,15,Defensive Midfielder,USA and El Salvador,Right
Jonathan,Ransom,270,Atlanta United,1/8/2008,17,Goalkeeper,USA and Canada,Right
Ayo,Akintobi,82,Atlanta United,8/16/2007,17,Right Back,USA,Right
Adyn,Torres,369,Atlanta United,11/13/2007,17,Defensive Midfielder,USA,Right
Ervin,Torres,955,Austin FC,11/14/2007,17,Central Midfield,USA and Mexico,Right
Mohammad,Badawiya,218,Austin FC,11/14/2007,17,Attacking Midfielder,USA,Left
Drake,Hadeed,261,Carolina Core,11/21/2007,17,"Attacking Midfielder, Winger",USA and Antigua,Right
Patrick,Los,1080,Chicago Fire FC 2,8/17/2007,17,Goalkeeper,USA,Right
Christopher,Cupps,315,Chicago Fire FC 2,5/26/2008,17,"Center Back, Right Back",USA,Right
Vitaliy,Hlyut,655,Chicago Fire FC 2,4/29/2008,17," Attacking Midfidler, Winger",USA,Left
Chase,Nagle,724,Chicago Fire FC 2,9/21/2008,16,"Center Back, Center Midfielder",USA,Right
Josue,Pfrommer,27,Chicago Fire FC 2,7/9/2008,16,Center Back,USA,Right
Emir,Herrera,30,Chicago Fire FC 2,8/28/2008,16,Defensive Midfielder,USA,Left
Oscar,Pineda,1,Chicago Fire FC 2,7/29/2008,16,"Center Midfielder, Center Defensive Midfielder",USA and Mexico,Right
Jaden,Chan Tack,436,Colorado Rapids 2,12/14/2007,17,Outside Back,USA,Right
Noah,Strellenauer,667,Colorado Rapids 2,8/22/2007,17,Center Midfielder,USA,Right
Colton,Swan,764,Colorado Rapids 2,5/3/2007,18,"Winger, Striker",USA,Right
Maxwell,Simpson,19,Colorado Rapids 2,5/9/2007,18,Midfielder,USA,Left
Rogelio,Garcia,204,Colorado Rapids 2,4/30/2008,17,"Forward, Winger",USA and Mexico,Left
Andre ,Erickson,90,Colorado Rapids 2,1/9/2008,17,"Attacking Midfielder, Outside Back",USA,
Landon,Strohmeyer,10,Colorado Rapids 2,5/21/2008,17,Midfielder,,
Alexander,Gimple,50,Columbus Crew 2,9/30/2008,16,Forward,USA,Left
Chase,Adams,586,Columbus Crew 2,4/17/2008,17,Forward,USA,Right
Austin,Su,315,Columbus Crew 2,1/5/2008,17,Central Midfield,USA,Right
Shalom,Adja,21,Columbus Crew 2,8/6/2007,17,Midfielder,USA,Right
Isaac,Alexander Tortola,79,Columbus Crew 2,2/21/2008,17,"Attacking Midfielder, Midfielder",Canada and USA,Right
Gianmarco,Di Noto,509,Columbus Crew 2,3/27/2009,16,Center Back,USA,Right
Tristan,Brown,619,Columbus Crew 2,10/17/2007,17,"Left Back, Wing Back",USA,Left
Christian ,Ortiz,521,Columbus Crew 2,4/23/2007,18,Forward,USA and Dominican Republic,Right
Artem,Grinblat,60,Columbus Crew 2,11/23/2007,17,Midfielder,USA,
Apolo,Marinch,31,Columbus Crew 2,4/28/2010,15,Forward,USA,Left
Prince,Forfor,89,Columbus Crew 2,3/14/2009,16,"Left Back, Wing Back",USA,Left
Wyatt,Holt,990,Crown Legacy,5/29/2009,16,Center Back,USA,Right
Rocket,Ritarita ,414,Crown Legacy,4/16/2007,#NUM!,"Forward, Attacking Midfielder",USA and Philippines,Right
Adrian,Mendoza,17,Corwn Legacy,8/21/2007,17,Midfielder,USA,Right
Nimfasha,Berchimas,15,Crown Legacy,2/22/2008,17,Left Winger,USA,Right
Isais,Elizalde,24,Crown Legacy,6/21/2008,17,Forward,USA,Right
Luke,Munson,113,Crown Legacy,7/25/2007,17,Right Back,USA,Right
Andrei,Chirila,1124,FC Cincinnati ,8/15/2008,16,"Center Back, Left Back",USA and Romania,Left
Stiven,Jimenez,707,FC Cincinnati ,7/24/2007,17,Central Midfield,USA,Right
William,Kuisel,321,FC Cincinnati ,1/16/2008,17,"Left Back, Wing Back",USA,Left
Ademar,Chavez,139,FC Cincinnati ,1/12/2009,16,Attacking Midfielder,USA and Mexico,Left
Carson,Locker,510,FC Cincinnati ,10/8/2007,17,Central Midfield,USA,Left
Ali,Sakr,1,FC Cincinnati ,3/10/2010,15,Attacking Midfielder,USA,Both
Jaylen,Lester,45,FC Cincinnati,4/30/2008,17,Winger,USA and Jamaica,Right
Brandon,Kristen,8,FC Cincinnati ,12/13/2007,17,Winger,USA,Right
David,Garcia,211,Houston Dynamo 2,4/15/2008,17,Forward,Venezuela,Right
Daniel,Barett,992,Houston Dynamo 2,4/20/2009,16,"Center Back, Outside Back",USA,Right
Isaac,Mwakutuya,770,Houston Dynamo 2,9/10/2007,17,Center Back,USA and Zimbabwe,Right
Micah ,Harris,465,Houston Dynamo 2,2/7/2008,17,"Center Back, Left Back",USA and Dominican Republic,Left
Mattheo ,Dimareli,605,Houston Dynamo 2,5/28/2009,16,"Winger, Wing Back",USA,Right
Sebastian,Rodriguez,1080,Houston Dynamo 2,9/13/2007,17,Central Midfielder ,USA,Right
Lukas,Bruegmann,460,Houston Dynamo 2,4/22/2009,16,Midfielder,USA,Left
Fadel,Kone,119,Houston Dynamo 2,5/25/2007,18,Forward,USA,Right
Gavin,Wolff,614,Houston Dynamo 2,8/27/2008,16,"Left Back, Center Back",USA and Philippines ,Left
Noah,Betancourt,792,Houston Dynamo 2,4/13/2007,18,Center Back,USA,Right
Omar,Bolanos,167,Houston Dynamo 2,1/13/2008,17,Midfielder and Defender,USA and Mexico,Right
Jayden,Puna,400,Houston Dynamo 2,2/29/2008,17,Center Back,USA,Right
Omar,Flores,119,Houston Dynamo 2,4/3/2008,17,Right Back,USA,Right
Faraji,Ramani,23,Houston Dynamo 2,2/28/2008,17,Midfielder ,USA,Right
Myles,Gardner,10,Houston Dynamo 2,4/15/2009,16,Winger,USA and Jamaica,Right
Sebastiao ,Nzita,10,Houston Dynamo 2,10/10/2010,14,Winger,USA,Right
Roman,Kerimov,180,Houston Dynamo 2,2/15/2008,17,Goalkeeper,USA and Russia,Right
Lionel,Gitau ,308,Houston Dynamo 2,3/1/2008,17,Attacking Midfielder ,USA and Kenya,Right
Gabriel,Alonso,155,Hunstville City FC,10/20/2008,16,Outside Back,USA,Right
Ammar,Delic,90,Hunstville City FC,6/21/2007,18,Goalkeeper,USA,Right
Chris,Applewhite,242,Hunstville City FC,8/23/2007,17,Center Back,USA,Right
Matias,Marin,540,Inter Miami 2,10/7/2007,17,Goalkeeper,USA,Right
