Team,Coach,Owner,GM,City,Position End Last Season,MLS Playoffs,Number of Roster Slots Filled,Roster Model
Atlanta United,Ronny Delia,Arthur M. Blank,Chris Henderson,"Atlanta, GA",9th in East,Yes,28,Designated Player
Austin FC,Nico Estevez,Anthony Precourt,Rodolfo Borrell,"Austin, TX",10th in West,No,24,
Charlotte FC,Dean Smith,David A. Tepper,Zoran Krneta,"Charlotte, NC",5th in East,Yes,,
Chicago Fire,Greg Berhalter,Jon Mansueto,Greg Berhalter,"Chicago, IL",15th in East,No,,
FC Cincinatti,Pat Noonan,Carl H. Lindner III,Chris Albright,"Cincinnati, OH",3rd in East,Yes,,
Colorado Rapids,Chris Armas,Kroenke Sports & Entertainment,Padraig Smith,"Commerce City, CO",7th in West,Yes,,
Columbus Crew,Wilfred Nancy,Haslam Sports Group,Tim Bezbatchenko,"Columbus, OH",2nd in East,Yes,,
DC United,Troy Lesesne,DC United Holdings,Ally Mackay ,"Washington, DC",10th in East,No,,
FC Dallas,Eric Quill,The Hunt Family,Andre Zanotta,"Frisco, TX",11th in West,No,,
Houston Dynamo,Ben Olsen,Ted Segal,Pat Onstad,"Houston, TX",5th in West,Yes,,
Inter Miami,Javier Mascherano,Jorge Mas,Raul Sanllehi,"Fort Lauderdale, FL",1st in East,Yes,,
LA Galaxy,Greg Vanney,Anschutz Entertainment Group,Will Kuntz,"Carson, CA",2nd in West,Yes,,
LAFC,Steve Cherundolo,Bennett Rosenthal,John Thorrington ,"Los Angeles, CA",1st in West,Yes,,
Minnesota,Eric Ramsay,Dr Bill McGuire,Khaled El-Ahmad,"Saint Paul, MN",6th in West,Yes,,
CF Montreal,Laurent Courtois,Joey Saputo ,Luca Saputo,"Montreal, Canada",8th in East,Yes,,
Nashville FC,BJ Callaghan,John Ingram,Mike Jacob's,"Nashville, TN",13th in East,No,,
NE Revolution,Caleb Porter,Kraft Group,Curt Onalfo,"Foxborough, MA",14th in East,No,,
New York City FC,Pascal Jansen,City Football Group,Brad Sims,"New York City, NY",6th in East,Yes,,
NY Red Bulls,Sandro Schwarz,Red Bull GmbH,Julian De Guzman,"Harrison, NJ",7th in East,Yes,,
Orlando City,Oscar Pareja,The Wild Family,Luiz Muzzi,"Orlando, FL",4th in East,Yes,,
Philadelphia Union,Bradley Carnell,Jay Sugarman,Ernst Tanner,"Chester, PA",12th in East,No,,
Portland Timbers,Phil Neville,Merritt Paulson,Ned Grabavoy,"Portland, OR",9th in West,Yes,,
Real Salt Lake,Pablo Mastroeni,David Blitzer,Kurt Schmid,"Salt Lake City, UT",3rd in West,Yes,,
San Diego FC,Mikey Varas,Mohamed Mansour,Tyler Heaps,"San Diego, CA",N/A,N/A,,
San Jose Earthquakes,Bruce Arena,John Fisher,Bruce Arena,"San Jose, CA",14th in West,No,,
Seattle Sounders,Brian Schmetzer,Adrian Hanauer,Craig Waibel,"Seattle, WA",4th in West,Yes,,
Sporting KC,Pete Vermes,Sporting Club,Mike Burns,"Kansas City, KS",13th in West,No,,
St Louis City SC,Olof Mellberg,Carolyn Kindle,Lutz Pfannenstiel,"St. Louis, MO",12th in West,No,,
Toronto FC,Robin Fraser,Maple Lead Sports & Entertainment ,Jason Hernandez,"Toronto, Canada ",11th in East,No,,
Vancouver Whitecaps,Jesper Sorensen,Greg Kerfoot,Axel Schuster,"Vancouver, Canada",8th in West,Yes,,
