First Name,Last Name,Contract End,Option Years,TEAM,Age,Position,Roster Designation,Nationality,Domestic or International,Minutes Played
Brad,Guzan,12/31/2025,None,Atlanta United,9/9/1984,Goalkeeper,Senior,USA,Domestic,360
Ronald,Hernandez,12/31/2025,2026,Atlanta United,9/21/1997,Defender,Senior,Venezuela,Domestic,90
Derrick,Williams,12/31/2025,2026,Atlanta United,1/17/1993,Defender,Senior,Germany & USA,Domestic,275
Luis,Abram,12/31/2025,2026,Atlanta United,2/27/1996,Defender,Senior,Peru,International,186
Stian,Gregersen,12/31/2027,2028,Atlanta United,5/17/1995,Defender,Senior,Norway,Domestic,352
Bartosz,Slisz,12/31/2028,None,Atlanta United,3/29/1999,Midfielder,Senior,Poland,Domestic,354
Tristan,Muyumba,12/31/2026,2027,Atlanta United,3/7/1997,Midfielder,Senior,France,International,184
Saba,Lobjanidze,12/31/2026,None,Atlanta United,12/18/1994,Winger,Senior,Georgia,International,304
Brooks,Lennon,12/31/2025,2026,Atlanta United,9/22/1997,Defender,Senior,USA,Domestic,83
Xande,Silva,12/31/2025,2026,Atlanta United,3/16/1997,Winger,Senior,Portugal,International,38
Pedro,Amador,12/31/2026,2027,Atlanta United,12/18/1998,Defender,Senior,Portugal,International,174
Edwin,Mosquera,12/31/2025,2026,Atlanta United,6/27/2001,Winger,U22 Initiative,Colombia,International,47
Efrain,Morales,12/31/2025,2026,Atlanta United,3/4/2004,Defender,Homegrown,USA,Domestic,0
Josh,Cohen,12/31/2025,2026,Atlanta United,8/18/1992,Goalkeeper,Senior,USA,Domestic,0
Adyn,Torres,12/31/2027,2028,Atlanta United,11/13/2007,Midfielder,Supplemental,USA,Domestic,0
Noah,Cobb,12/31/2026,2027,Atlanta United,7/20/2005,Defender,Homegrown,USA,Domestic,23
Luke,Brennan,12/31/2027,2028,Atlanta United,2/24/2005,Winger,Homegrown,USA,Domestic,0
Jamal,Thiare,12/31/2025,2026,Atlanta United,3/31/1993,Forward,Senior,Senegal,Domestic,18
Ajani,Fortune,12/31/2025,2026,Atlanta United,12/30/2002,Midfielder,Homegrown,USA,Domestic,103
Matt,Edwards,12/31/2025,2026 and 2027,Atlanta United,2/16/2003,Defender,Homegrown,USA,Domestic,237
Alexey,Miranchuk,12/31/2027,2028,Atlanta United,10/17/1995,Midfielder,Designated Player,Russia,International,343
Ashton,Gordon,2026,2027 and 2028,Atlanta United,4/17/2007,Forward,Homegrown,USA,Domestic,0
Will,Reilly,12/31/2025,2026 and 2027 and 2028,Atlanta United,12/3/2002,Midfielder,Homegrown,USA,Domestic,0
Jayden,Hibbert,12/31/2025,2026 and 2027 and 2028,Atlanta United,8/5/2004,Goalkeeper,Supplemental,USA & Jamaica,Domestic,0
Mateusz,Klich,12/31/2025,None,Atlanta United,6/13/1990,Midfielder,Senior,Poland,International,97
Cayman,Togashi,12/31/2025,2026,Atlanta United,8/10/1993,Forward,Supplemental,Japan & USA,Domestic,14
Miguel,Almiron,12/31/2027,2028,Atlanta United,2/10/1994,Midfielder,Designated Player,Paraguay,International,357
Emmanuel,Latte Lath,12/31/2028,2029,Atlanta United,1/2/1999,Forward,Designated Player,Ivory Coast,International,319
Brandon,Vasquez,12/31/2027,2028,Austin FC,10/14/1998,Forward,Designated Player,USA,Domestic,356
Jader,Obrian,12/31/2026,2027,Austin FC,5/18/1995,Forward,Senior,Colombia,International,174
Brendan,Hines-Ike,12/31/2025,2026,Austin FC,11/30/1994,Defender,Senior,USA,Domestic,360
Osman,Bukari,12/31/2028,2029,Austin FC,12/31/1998,Forward,Designated Player,Ghana,International,331
