Team,Coach,Owner,GM,City,Position End Last Season,MLS Playoffs,Number of Roster Slots Filled,Roster Model,International Slots Filled
Atlanta United,Ronny Delia,Arthur M. Blank,Chris Henderson,"Atlanta, GA",9th in East,Yes,28,Designated Player,8/8
Austin FC,Nico Estevez,Anthony Precourt,Rodolfo Borrell,"Austin, TX",10th in West,No,24,Designated Player,8/9
Charlotte FC,Dean Smith,David A. Tepper,Zoran Krneta,"Charlotte, NC",5th in East,Yes,28,U22 Intiative,8/8
Chicago Fire,Greg Berhalter,Jon Mansueto,Greg Berhalter,"Chicago, IL",15th in East,No,28,U22 Intiative,7/8
FC Cincinatti,Pat Noonan,Carl H. Lindner III,Chris Albright,"Cincinnati, OH",3rd in East,Yes,25,U22 Intiative,6/8
Colorado Rapids,Chris Armas,Kroenke Sports & Entertainment,Padraig Smith,"Commerce City, CO",7th in West,Yes,26,Designated Player,4/4
Columbus Crew,Wilfred Nancy,Haslam Sports Group,Tim Bezbatchenko,"Columbus, OH",2nd in East,Yes,23,Designated Player,7/8
DC United,Troy Lesesne,DC United Holdings,Ally Mackay ,"Washington, DC",10th in East,No,27,Designated Player,8/8
FC Dallas,Eric Quill,The Hunt Family,Andre Zanotta,"Frisco, TX",11th in West,No,29,U22 Intiative,9/9
Houston Dynamo,Ben Olsen,Ted Segal,Pat Onstad,"Houston, TX",5th in West,Yes,27,U22 Intiative,6/7
Inter Miami,Javier Mascherano,Jorge Mas,Raul Sanllehi,"Fort Lauderdale, FL",1st in East,Yes,27,Designated Player,14/13
LA Galaxy,Greg Vanney,Anschutz Entertainment Group,Will Kuntz,"Carson, CA",2nd in West,Yes,28,Designated Player,12/11
LAFC,Steve Cherundolo,Bennett Rosenthal,John Thorrington ,"Los Angeles, CA",1st in West,Yes,26,Designated Player,12/11
Minnesota,Eric Ramsay,Dr Bill McGuire,Khaled El-Ahmad,"Saint Paul, MN",6th in West,Yes,24,U22 Initiative,8/8
CF Montreal,Laurent Courtois,Joey Saputo ,Luca Saputo,"Montreal, Canada",8th in East,Yes,27,U22 Initiative,7/5
Nashville FC,BJ Callaghan,John Ingram,Mike Jacob's,"Nashville, TN",13th in East,No,26,Designated Player,5/5
NE Revolution,Caleb Porter,Kraft Group,Curt Onalfo,"Foxborough, MA",14th in East,No,27,Designated Player,8/7
New York City FC,Pascal Jansen,City Football Group,Brad Sims,"New York City, NY",6th in East,Yes,25,U22 Intiative,4/8
NY Red Bulls,Sandro Schwarz,Red Bull GmbH,Julian De Guzman,"Harrison, NJ",7th in East,Yes,28,Designated Player,12/11
Orlando City,Oscar Pareja,The Wild Family,Luiz Muzzi,"Orlando, FL",4th in East,Yes,23,Designated Player,5/7
Philadelphia Union,Bradley Carnell,Jay Sugarman,Ernst Tanner,"Chester, PA",12th in East,No,26,Designated Player,7/7
Portland Timbers,Phil Neville,Merritt Paulson,Ned Grabavoy,"Portland, OR",9th in West,Yes,24,U22 Initiative,8/7
Real Salt Lake,Pablo Mastroeni,David Blitzer,Kurt Schmid,"Salt Lake City, UT",3rd in West,Yes,27,U22 Initiative,10/10
San Diego FC,Mikey Varas,Mohamed Mansour,Tyler Heaps,"San Diego, CA",N/A,N/A,25,U22 Initiative,9/9
San Jose Earthquakes,Bruce Arena,John Fisher,Bruce Arena,"San Jose, CA",14th in West,No,28,Designated Player,6/7
Seattle Sounders,Brian Schmetzer,Adrian Hanauer,Craig Waibel,"Seattle, WA",4th in West,Yes,25,Designated Player,3/4
Sporting KC,Pete Vermes,Sporting Club,Mike Burns,"Kansas City, KS",13th in West,No,25,U22 Intiative,6/8
St Louis City SC,Olof Mellberg,Carolyn Kindle,Lutz Pfannenstiel,"St. Louis, MO",12th in West,No,28,U22 Intiative,7/8
Toronto FC,Robin Fraser,Maple Lead Sports & Entertainment ,Jason Hernandez,"Toronto, Canada ",11th in East,No,26,U22 Intiative,12/9
Vancouver Whitecaps,Jesper Sorensen,Greg Kerfoot,Axel Schuster,"Vancouver, Canada",8th in West,Yes,26,U22 Intiative,10/9
